Volume;Material
2.43;Concrete
0.98;Concrete
0.53;Concrete
0.97;Concrete
0.94;Concrete
3.44;Concrete
4.22;Concrete
1.72;Concrete
3.72;Concrete
0.59;Concrete
0.56;Concrete
0.42;Concrete
0.46;Concrete
0.23;Concrete
2.72;Concrete
0.93;Concrete
3.69;Concrete
0.33;Concrete
0.77;Concrete
5.25;Concrete
16.6;Concrete
18.79;Concrete
2.21;Concrete
2.47;Concrete
2.31;Concrete
2.5;Concrete
2.49;Concrete
1.88;Concrete
2.31;Concrete
2.31;Concrete
2.31;Concrete
3.24;Concrete
1.53;Concrete
2.99;Concrete
6.32;Concrete
2.04;Concrete
3.21;Concrete
3.74;Concrete
2.31;Concrete
1.8;Concrete
0.55;Concrete
2.62;Concrete
1.0;Concrete
1.19;Concrete
1.71;Concrete
1.09;Concrete
0.3;Concrete
2.05;Concrete
0.66;Concrete
9.71;Concrete
5.35;Concrete
1.53;Concrete
2.31;Concrete
0.86;Concrete
0.44;Concrete
3.19;Concrete
2.7;Concrete
2.24;Concrete
1.59;Concrete
1.43;Concrete
1.83;Concrete
1.32;Concrete
1.47;Concrete
7.48;Concrete
16.06;Concrete
4.23;Concrete
10.73;Concrete
7.67;Concrete
3.97;Concrete
1.44;Concrete
5.42;Concrete
6.22;Concrete
3.9;Concrete
3.43;Concrete
6.87;Concrete
1.72;Concrete
2.31;Concrete
2.31;Concrete
2.0;Concrete
2.31;Concrete
1.37;Concrete
3.22;Concrete
12.45;Concrete
1.76;Concrete
1.56;Concrete
16.51;Concrete
17.23;Concrete
7.8;Concrete
4.14;Concrete
4.92;Concrete
12.15;Concrete
6.31;Concrete
2.89;Concrete
3.96;Concrete
3.24;Concrete
2.31;Concrete
3.24;Concrete
3.24;Concrete
2.38;Concrete
2.48;Concrete
1.58;Concrete
2.58;Concrete
1.22;Concrete
2.49;Concrete
3.35;Concrete
0.93;Concrete
2.69;Concrete
0.63;Concrete
3.05;Concrete
1.59;Concrete
2.94;Concrete
10.49;Concrete
3.19;Concrete
8.32;Concrete
33.26;Concrete
20.43;Concrete
10.48;Concrete
31.97;Concrete
5.05;Concrete
30.74;Concrete
19.96;Concrete
32.86;Concrete
6.57;Concrete
17.8;Concrete
4.29;Concrete
8.07;Concrete
12.67;Concrete
12.67;Concrete
10.08;Concrete
11.65;Concrete
3.51;Concrete
8.21;Concrete
0.9;Concrete
2.85;Concrete
8.33;Concrete
0.75;Concrete
1.13;Concrete
7.01;Concrete
5.81;Concrete
0.13;Concrete
1.8;Concrete
0.08;Concrete
1.8;Concrete
0.08;Concrete
1.8;Concrete
0.08;Concrete
1.8;Concrete
0.08;Concrete
1.8;Concrete
0.08;Concrete
1.8;Concrete
0.08;Concrete
1.8;Concrete
0.08;Concrete
1.8;Concrete
0.08;Concrete
1.8;Concrete
0.17;Concrete
0.17;Concrete
0.17;Concrete
0.17;Concrete
0.17;Concrete
15.95;Concrete
0.17;Concrete
0.17;Concrete
0.17;Concrete
1.66;Concrete
0.33;Concrete
0.05;Concrete
3.02;Concrete
0.87;Concrete
0.56;Concrete
1.69;Concrete
0.56;Concrete
1.2;Concrete
0.05;Concrete
1.13;Concrete
0.57;Concrete
0.29;Concrete
1.26;Concrete
1.44;Concrete
0.69;Concrete
0.65;Concrete
1.08;Concrete
0.54;Concrete
0.14;Concrete
0.5;Concrete
0.22;Concrete
0.1;Concrete
0.46;Concrete
0.56;Concrete
0.45;Concrete
0.56;Concrete
0.9;Concrete
0.43;Concrete
0.16;Concrete
0.53;Concrete
0.45;Concrete
0.24;Concrete
0.75;Concrete
0.75;Concrete
0.38;Concrete
1.29;Concrete
0.08;Concrete
0.08;Concrete
0.54;Concrete
0.33;Concrete
0.12;Concrete
0.33;Concrete
0.33;Concrete
0.21;Concrete
0.19;Concrete
0.24;Concrete
0.22;Concrete
0.29;Concrete
0.21;Concrete
0.08;Concrete
0.68;Concrete
0.51;Concrete
0.45;Concrete
0.36;Concrete
0.15;Concrete
0.67;Concrete
0.42;Concrete
0.16;Concrete
0.16;Concrete
0.37;Concrete
0.44;Concrete
0.45;Concrete
0.35;Concrete
0.23;Concrete
13.26;Concrete
0.05;Concrete
0.27;Concrete
0.15;Concrete
0.48;Concrete
0.46;Concrete
0.51;Concrete
0.23;Concrete
0.24;Concrete
0.41;Concrete
