Material: Volume;Material: Name
1,21 m³;WAL_Precast-Exterior-200_RDK
1,41 m³;WAL_Precast-Exterior-200_RDK
9,96 m³;WAL_Precast-Exterior-200_RDK
6,26 m³;WAL_Precast-Interior-300_RDK
4,84 m³;WAL_Precast-Interior-200_RDK
5,17 m³;WAL_Precast-Interior-300_RDK
5,55 m³;WAL_Precast-Interior-300_RDK
1,98 m³;WAL_Precast-Interior-200_RDK
1,55 m³;WAL_Precast-Interior-200_RDK
1,83 m³;WAL_Precast-Interior-200_RDK
5,38 m³;WAL_Precast-Interior-200_RDK
1,83 m³;WAL_Precast-Interior-200_RDK
6,01 m³;WAL_Precast-Interior-200_RDK
7,87 m³;WAL_Precast-Interior-250_RDK
1,23 m³;WAL_Precast-Interior-200_RDK
7,23 m³;WAL_Precast-Exterior-250_RDK
3,12 m³;WAL_Precast-Interior-250_RDK
10,08 m³;WAL_Precast-Interior-250_RDK
1,53 m³;WAL_Precast-Interior-200_RDK
1,76 m³;WAL_Precast-Interior-250_RDK
1,62 m³;WAL_Precast-Interior-200_RDK
13,86 m³;WAL_Precast-Interior-200_RDK
4,46 m³;WAL_Precast-Exterior-250_RDK
3,28 m³;WAL_Precast-Exterior-200_RDK
3,19 m³;WAL_Precast-Exterior-200_RDK
4,18 m³;WAL_Precast-Interior-200_RDK
14,88 m³;WAL_Precast-Exterior-250_RDK
7,49 m³;WAL_Precast-Exterior-300_RDK
0,75 m³;WAL_Precast-Exterior-200_RDK
6,87 m³;WAL_Precast-Exterior-300_RDK
0,75 m³;WAL_Precast-Exterior-200_RDK
6,90 m³;WAL_Precast-Exterior-300_RDK
0,75 m³;WAL_Precast-Exterior-200_RDK
6,94 m³;WAL_Precast-Exterior-300_RDK
0,80 m³;WAL_Precast-Exterior-200_RDK
7,16 m³;WAL_Precast-Exterior-300_RDK
6,45 m³;WAL_Precast-Interior-400_RDK
5,04 m³;WAL_Precast-Interior-400_RDK
3,49 m³;WAL_Precast-Interior-400_RDK
3,46 m³;WAL_Precast-Interior-400_RDK
5,10 m³;WAL_Precast-Interior-400_RDK
4,16 m³;WAL_Precast-Interior-400_RDK
4,03 m³;WAL_Precast-Interior-400_RDK
2,33 m³;WAL_Precast-Interior-400_RDK
7,57 m³;Precast sandwich_wall_Type4 670_RDK
12,63 m³;Precast sandwich_wall_Type4 670_RDK
4,39 m³;WAL_Precast-Interior-250_RDK
6,39 m³;WAL_Precast-Interior-250_RDK
6,63 m³;WAL_Precast-Interior-400_RDK
5,46 m³;WAL_Precast-Interior-400_RDK
6,52 m³;WAL_Precast-Interior-300_RDK
1,85 m³;WAL_Precast-Interior-300_RDK
1,41 m³;WAL_Precast-Interior-350_RDK
